# Log Gross Income (lower edge), Log Gross Income (upper edge), Log Net Wealth (lower edge), Log Net Wealth (upper edge), Probability
9.4, 9.6, 5.0, 5.5, 0.06250906941851338
9.4, 9.6, 5.5, 6.0, 0.06519336015515459
9.4, 9.6, 6.0, 6.5, 0.04910589440044346
9.4, 9.6, 6.5, 7.0, 0.08859520716356208
9.4, 9.6, 7.0, 7.5, 0.03746374848733416
9.4, 9.6, 7.5, 8.0, 0.040166307402284086
9.4, 9.6, 8.0, 8.5, 0.059026722269011504
9.4, 9.6, 8.5, 9.0, 0.10396904814133862
9.4, 9.6, 9.0, 9.5, 0.09306813151413384
9.4, 9.6, 9.5, 10.0, 0.12196085336499006
9.4, 9.6, 10.0, 10.5, 0.0693249326575113
9.4, 9.6, 10.5, 11.0, 0.04144717620158166
9.4, 9.6, 11.0, 11.5, 0.037636566596492685
9.4, 9.6, 11.5, 12.0, 0.034817367302882624
9.4, 9.6, 12.0, 12.5, 0.019780165525162038
9.4, 9.6, 12.5, 13.0, 0.0008781563847851387
9.4, 9.6, 13.0, 13.5, 9.853423717669223e-05
9.4, 9.6, 13.5, 14.0, 0.010927424851668257
9.4, 9.6, 14.0, 14.5, 9.38066898103756e-05
9.4, 9.6, 14.5, 15.0, 4.147776006050703e-06
9.4, 9.6, 15.0, 15.5, 0.0
9.4, 9.6, 15.5, 16.0, 7.582726839711898e-06
9.4, 9.6, 16.0, 16.5, 0.0
9.4, 9.6, 16.5, 17.0, 0.0
9.4, 9.6, 17.0, 17.5, 0.0
9.6, 9.8, 0.0, 0.5, 0.0
9.6, 9.8, 0.5, 1.0, 0.0
9.6, 9.8, 1.0, 1.5, 0.0
9.6, 9.8, 1.5, 2.0, 0.0007065333056567883
9.6, 9.8, 2.0, 2.5, 0.0023223191330397045
9.6, 9.8, 2.5, 3.0, 0.007237559484967357
9.6, 9.8, 3.0, 3.5, 0.0034084638110059677
9.6, 9.8, 3.5, 4.0, 0.013890574704980292
9.6, 9.8, 4.0, 4.5, 0.005604890162222919
9.6, 9.8, 4.5, 5.0, 0.011699198947299063
9.6, 9.8, 5.0, 5.5, 0.016545201169775706
9.6, 9.8, 5.5, 6.0, 0.04518765402692455
9.6, 9.8, 6.0, 6.5, 0.028143529894891987
9.6, 9.8, 6.5, 7.0, 0.06981928359690528
9.6, 9.8, 7.0, 7.5, 0.09103414882691005
9.6, 9.8, 7.5, 8.0, 0.07339123453792132
9.6, 9.8, 8.0, 8.5, 0.09263859788588305
9.6, 9.8, 8.5, 9.0, 0.09610054812453285
9.6, 9.8, 9.0, 9.5, 0.11716893911967446
9.6, 9.8, 9.5, 10.0, 0.10653768675104279
9.6, 9.8, 10.0, 10.5, 0.0733394404533337
9.6, 9.8, 10.5, 11.0, 0.06018118465272474
9.6, 9.8, 11.0, 11.5, 0.029614528281436753
9.6, 9.8, 11.5, 12.0, 0.03253922363343089
9.6, 9.8, 12.0, 12.5, 0.010166629475877632
9.6, 9.8, 12.5, 13.0, 0.008726631879330832
9.6, 9.8, 13.0, 13.5, 0.003026343520672127
9.6, 9.8, 13.5, 14.0, 0.00044413012999552025
9.6, 9.8, 14.0, 14.5, 0.00023946410124378703
9.6, 9.8, 14.5, 15.0, 5.745148911973736e-05
9.6, 9.8, 15.0, 15.5, 6.854611130094158e-05
9.6, 9.8, 15.5, 16.0, 0.00011109008916686464
9.6, 9.8, 16.0, 16.5, 4.897269873244012e-05
9.6, 9.8, 16.5, 17.0, 0.0
9.6, 9.8, 17.0, 17.5, 0.0
9.8, 10.0, 0.0, 0.5, 0.0
9.8, 10.0, 0.5, 1.0, 0.0
9.8, 10.0, 1.0, 1.5, 0.0
9.8, 10.0, 1.5, 2.0, 0.0005340271610204775
9.8, 10.0, 2.0, 2.5, 0.0
9.8, 10.0, 2.5, 3.0, 0.0031043902872898268
9.8, 10.0, 3.0, 3.5, 0.00042790931115221497
9.8, 10.0, 3.5, 4.0, 0.006572390501264406
9.8, 10.0, 4.0, 4.5, 0.007406920252798183
9.8, 10.0, 4.5, 5.0, 0.01708311605846892
9.8, 10.0, 5.0, 5.5, 0.03228906093191195
9.8, 10.0, 5.5, 6.0, 0.022115486879869726
9.8, 10.0, 6.0, 6.5, 0.04774086209976934
9.8, 10.0, 6.5, 7.0, 0.07371116135901881
9.8, 10.0, 7.0, 7.5, 0.04032168472497313
9.8, 10.0, 7.5, 8.0, 0.05658649136738904
9.8, 10.0, 8.0, 8.5, 0.09801308880106456
9.8, 10.0, 8.5, 9.0, 0.11517488762760411
9.8, 10.0, 9.0, 9.5, 0.08472593200908526
9.8, 10.0, 9.5, 10.0, 0.09954523275408413
9.8, 10.0, 10.0, 10.5, 0.11667009822703327
9.8, 10.0, 10.5, 11.0, 0.09557565511614312
9.8, 10.0, 11.0, 11.5, 0.047527510808325346
9.8, 10.0, 11.5, 12.0, 0.016536620675948452
9.8, 10.0, 12.0, 12.5, 0.008507841625321347
9.8, 10.0, 12.5, 13.0, 0.0028428757450608393
9.8, 10.0, 13.0, 13.5, 0.0035481147485542457
9.8, 10.0, 13.5, 14.0, 0.0016400068457880022
9.8, 10.0, 14.0, 14.5, 0.0017530981645353673
9.8, 10.0, 14.5, 15.0, 2.6149035943681733e-05
9.8, 10.0, 15.0, 15.5, 1.93868805823734e-05
9.8, 10.0, 15.5, 16.0, 0.0
9.8, 10.0, 16.0, 16.5, 0.0
9.8, 10.0, 16.5, 17.0, 0.0
9.8, 10.0, 17.0, 17.5, 0.0
10.0, 10.2, 0.0, 0.5, 0.0005755656172972627
10.0, 10.2, 0.5, 1.0, 0.0
10.0, 10.2, 1.0, 1.5, 0.0
10.0, 10.2, 1.5, 2.0, 0.0
10.0, 10.2, 2.0, 2.5, 0.0018952960605310516
10.0, 10.2, 2.5, 3.0, 0.0
10.0, 10.2, 3.0, 3.5, 0.0007431567966857586
10.0, 10.2, 3.5, 4.0, 0.011699791504950454
10.0, 10.2, 4.0, 4.5, 0.0037084245390005834
10.0, 10.2, 4.5, 5.0, 0.006976915993597024
10.0, 10.2, 5.0, 5.5, 0.008819711441972211
10.0, 10.2, 5.5, 6.0, 0.005535725594540047
10.0, 10.2, 6.0, 6.5, 0.03374333078294691
10.0, 10.2, 6.5, 7.0, 0.06099566400826229
10.0, 10.2, 7.0, 7.5, 0.03751657817377581
10.0, 10.2, 7.5, 8.0, 0.09262417104229499
10.0, 10.2, 8.0, 8.5, 0.10054088209254372
10.0, 10.2, 8.5, 9.0, 0.09631644300220714
10.0, 10.2, 9.0, 9.5, 0.10075198592562691
10.0, 10.2, 9.5, 10.0, 0.09902529027806226
10.0, 10.2, 10.0, 10.5, 0.09592659716970255
